freq,PSD_dBm
0.0,-16.25987
2666.6666666666665,-98.76397
5333.333333333333,-99.51717
8000.0,-97.58561
10666.666666666666,-97.32067
13333.333333333332,-97.7362
16000.0,-96.84444
18666.666666666664,-96.83563
21333.333333333332,-97.0749
24000.0,-91.66427
26666.666666666664,-95.22883
29333.333333333332,-95.22841
32000.0,-95.22081
34666.666666666664,-94.7598
37333.33333333333,-96.01032
40000.0,-93.90987
42666.666666666664,-94.99659
45333.33333333333,-95.10761
48000.0,-90.08591
50666.666666666664,-93.61455
53333.33333333333,-93.99931
56000.0,-95.55771
58666.666666666664,-95.9432
61333.33333333333,-96.45374
64000.0,-95.01768
66666.66666666666,-95.22835
69333.33333333333,-95.55041
72000.0,-94.52732
74666.66666666666,-95.10861
77333.33333333333,-95.79956
80000.0,-96.28116
82666.66666666666,-95.06237
85333.33333333333,-96.15398
88000.0,-97.02984
90666.66666666666,-95.86103
93333.33333333333,-95.52848
96000.0,-79.80783
98666.66666666666,-88.27139
101333.33333333333,-94.84001
104000.0,-83.24344
106666.66666666666,-96.59319
109333.33333333333,-96.25151
112000.0,-50.56798
114666.66666666666,-97.13547
117333.33333333333,-80.72931
120000.0,-76.3886
122666.66666666666,-91.09083
125333.33333333333,-94.9337
128000.0,-70.1633
130666.66666666666,-93.97202
133333.3333333333,-93.27892
136000.0,-62.96771
138666.66666666666,-96.6017
141333.3333333333,-95.16152
144000.0,-92.83819
146666.66666666666,-96.36014
149333.3333333333,-96.23389
152000.0,-85.22426
154666.66666666666,-94.48246
157333.3333333333,-94.64535
160000.0,-81.42344
162666.66666666666,-94.73976
165333.3333333333,-96.62531
168000.0,-63.30514
170666.66666666666,-96.68921
173333.3333333333,-96.19636
176000.0,-87.11474
178666.66666666666,-95.83082
181333.3333333333,-61.37302
184000.0,-92.88224
186666.66666666666,-97.94103
189333.3333333333,-95.85148
192000.0,-94.74835
194666.66666666666,-87.4146
197333.3333333333,-66.20891
200000.0,-55.98432
202666.66666666666,-85.35445
205333.3333333333,-90.208
208000.0,-91.751
210666.66666666666,-77.74223
213333.3333333333,-96.97077
216000.0,-89.77353
218666.66666666666,-76.14562
221333.3333333333,-85.54994
224000.0,-87.71794
226666.66666666666,-95.8869
229333.3333333333,-91.95626
232000.0,-83.65065
234666.66666666666,-43.02081
237333.3333333333,-74.92516
240000.0,-80.88226
242666.66666666666,-91.84422
245333.3333333333,-95.50148
248000.0,-89.91074
