timestep,xmain,pmain,xhigh,phigh,xlow,plow
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,-1.169420338164372e6,63217.23047927966,-1.976402407245712e6,151810.85789418232,1.2593511617985435e6,-30901.902341054916
0.016,-1.1641121147824049e6,128263.37261112814,-1.9592660682777725e6,299726.5823249516,1.2582016978892258e6,-60811.17298783151
0.024,-1.1552149731890168e6,192446.8707763743,-1.9312743462539145e6,446152.2073340231,1.2563085842793742e6,-92307.2442659121
0.032,-1.142855096282699e6,255999.48583743165,-1.8919783336180197e6,590876.5449845647,1.2533457805957005e6,-123737.91522767249
0.04,-1.127058716997091e6,318776.74789953267,-1.8418212901099971e6,731773.4092523623,1.2498387177766792e6,-155240.40841327782
0.048,-1.1079124056221968e6,380465.1001815524,-1.7813807782602436e6,868668.9097623284,1.2457315049039442e6,-186669.88114570724
0.056,-1.0850217791081183e6,441100.4386599515,-1.7100711210080467e6,1.0001913567793724e6,1.2410337612884988e6,-217922.76861819267
0.064,-1.058941066236364e6,500661.640338283,-1.6297726617934336e6,1.1264730481709242e6,1.2361961422074235e6,-249056.26102670367
0.072,-1.0297841239134618e6,558492.6751507501,-1.5405016382736084e6,1.2459914362288585e6,1.2303740347517878e6,-280001.0389794473
0.08,-997405.6024521678,614422.7202658277,-1.4426288053897098e6,1.3582878136466597e6,1.2224330913620964e6,-310832.87169652636
0.088,-961937.6765836779,668664.3311635787,-1.335359099103395e6,1.462700788392859e6,1.214169141968985e6,-341515.61068903765
0.096,-923548.2404225114,720542.7712913764,-1.2210793740071561e6,1.5589888600998411e6,1.2058504980984542e6,-372034.69955043396
0.104,-882364.6208650875,770558.1369048118,-1.1007706902161224e6,1.6465129220052778e6,1.1962644184761643e6,-402325.134182375
0.112,-838426.9414525585,818240.0430367938,-973715.516051458,1.724721400786946e6,1.1856140096512598e6,-432450.4785976885
0.12,-791879.398249135,863304.2681265414,-841143.412458409,1.7930922767747196e6,1.1744282980840204e6,-462081.916115026
0.128,-742963.8253831391,905971.5475000029,-703753.791343432,1.8513523094253817e6,1.1627922561065329e6,-491494.2584731447
0.136,-691758.5565059675,945490.1362922121,-562502.2824679831,1.8988611135477582e6,1.1499908031769975e6,-520150.3974483243
0.144,-638447.4988974598,982398.3660912225,-417440.49602768477,1.9359105941130756e6,1.1364139959833021e6,-549167.690835819
0.152,-583191.1121359526,1.0161161462123499e6,-271157.85609200085,1.9618165210710478e6,1.1222715291005194e6,-577531.0388688412
0.16,-526181.9121438053,1.046646555351872e6,-122920.82789460412,1.9764231085270518e6,1.1073319964717159e6,-605493.6799233548
0.168,-467537.02815779747,1.0739787499781856e6,25619.35095794704,1.979968046727744e6,1.0918853984894499e6,-633446.2862363086
0.176,-407426.2082147759,1.0982170951656285e6,174985.89872558034,1.972554628086144e6,1.0755102659771221e6,-660326.699678612
0.184,-346089.0537553223,1.1193874946237616e6,322643.45840847003,1.9537229873691963e6,1.0582938759936355e6,-687046.2592273778
0.192,-283698.89349225425,1.1369741114100271e6,468790.2054831915,1.924010109095589e6,1.0408110478591154e6,-713907.8790056033
0.2,-220425.95972845776,1.1512199173887395e6,612739.949645984,1.8833070544284782e6,1.0225667676980566e6,-740850.0650923591
0.208,-156480.47942585283,1.161544852894337e6,753139.3364922411,1.831845892464268e6,1.003521467156911e6,-766289.1958427029
0.216,-92049.82451225012,1.1684483078917565e6,889199.765918257,1.7698769277794184e6,984388.8875740216,-791582.5098705918
0.224,-27341.147590478624,1.1719581181565146e6,1.0196062645339353e6,1.6978617871314911e6,964047.0334789053,-816212.2756846249
0.232,37465.43377745594,1.1718950848961647e6,1.1448298523070884e6,1.6164623632817147e6,943425.9500200249,-840045.4718245869
0.24,102203.74114862001,1.1683493511200675e6,1.2636869957895344e6,1.5255245091396468e6,921866.6378717655,-863019.6007657561
0.248,166568.2708589168,1.1610846735022115e6,1.3750664116928545e6,1.426011535271203e6,899935.7113418996,-885795.4236564814
0.256,230398.91361613595,1.1498889991313587e6,1.478739166987908e6,1.3183904457558072e6,877597.2520178136,-907854.1884067223
0.264,293546.89703387505,1.1354633731598607e6,1.573708108666193e6,1.2032496285230524e6,854689.5931466282,-929534.4994551076
0.272,355835.4766578408,1.117844574058175e6,1.6599198314620324e6,1.08149100717079e6,831316.7751849082,-950563.4251791034
0.28,417039.913825333,1.0964659177599503e6,1.7367734390741223e6,953563.2447320482,807058.4710637952,-971042.4442370468
0.288,477036.3021858621,1.0714089994529374e6,1.8033675183936353e6,820077.8848750056,782306.938773641,-990974.0321917378
0.296,535640.3813020806,1.0433231243858262e6,1.8598279722270097e6,681798.9996664928,757549.8235937087,-1.0102389152604011e6
0.304,592505.7113844312,1.0120879368035863e6,1.9058758710421864e6,539846.6781527218,731724.2263758369,-1.0287867217248947e6
