timestep,xmain,xhigh,xlow
3.488,-213405.86399935262,123343.24495618179,454499.5105839608
3.496,-230174.04790497525,100262.25170389401,497042.7681668473
3.504,-246146.37643996096,76744.47355164096,539347.2254725158
3.512,-261287.3923682045,52899.52229874251,581336.428385222
3.52,-275564.6101121435,28829.78486310804,622983.8605236287
3.528,-288966.8454979686,4648.829051623336,664264.7934382183
3.536,-301471.70750474307,-19538.931831529928,705127.6361019285
3.544,-313063.2393531344,-43628.39069538409,745533.0958243046
3.552,-323726.7319141337,-67514.52397477912,785435.868243292
3.56,-333459.61125234666,-91087.92694566773,824823.1060178004
3.568,-342255.2149171207,-114258.67013361103,863668.842428664
3.576,-350113.71145561355,-136927.86870693607,901908.8419679805
