timestamp,value1,value2
0.0,0.0,0.0
0.008,-412.8137498284453,222.83682643379336
0.016,-336.7954326504947,1758.0170425828562
0.024,-361.5851640737771,1362.5913288826
0.032,-324.0096421779301,857.1616171295934
0.04,-373.32188755177776,348.6863841925333
0.048,-388.0408757220525,208.66017830791012
0.056,-388.12439255425863,125.48344443168538
0.064,-377.37465695221334,25.329069718292168
0.072,-348.744260891636,-6.128797070091655
0.08,-342.2169893235931,-61.51023801831352
0.088,-402.8204783849298,-24.104036325137063
0.096,-384.3837240895187,0.40998309656013765
0.104,-374.74928053809003,3.4301445247822353
0.112,-345.9697211784369,-21.668028762649087
0.12,-362.3795201785825,-5.756353140909719
0.128,-345.2239145166051,50.53005442437055
0.136,-348.59623494330776,57.39412708839316
0.144,-349.05279791485873,52.5247667104402
0.152,-361.14892635012166,42.87668016258376
0.16,-344.0216210095549,70.41008736318699
0.168,-339.73534161098166,74.52046004244123
0.176,-328.61333175380844,93.903035737282
0.184,-307.8625415768868,116.19477660887325
0.192,-314.03247814760556,124.66353894791513
0.2,-311.2849079485637,137.77998774083906
0.208,-333.35180035963174,166.9797058092818
0.216,-312.7669012944549,188.9893564145317
0.224,-291.0032778760015,209.47487218433352
0.232,-283.22448877580194,224.9315181420589
0.24,-265.48959076761304,236.1927983816657
0.248,-251.94322071502668,251.39901582294777
0.256,-238.15518338308112,263.91189124152584
0.264,-222.4141995706968,276.1593370801201
0.272,-207.72927479493856,288.5191586317899
0.28,-187.7673465094813,301.2934386567341
0.288,-171.11514100581445,309.9812633356093
0.296,-155.50595568373907,317.7125632914196
0.304,-137.55832456797583,327.47027797613515
0.312,-116.8771451352061,335.1416895221332
0.32,-91.91848857262232,340.9902321888028
0.328,-72.27635309439658,345.15948233275975
0.336,-57.01023038511024,350.04746791604174
0.344,-41.517324233593314,351.7771363721112
0.352,-25.913478320408238,354.20613287220027
0.36,-6.811012418557534,354.9586596115612
0.368,6.00873848185168,355.2987413851882
0.376,28.517392090324293,353.9388240853531
0.384,45.32114809143913,351.863802667376
0.392,67.18057708674728,348.36933475773316
0.4,84.62340888739259,344.19260906488825
0.408,102.02445431169683,339.03695844338426
0.416,117.08474663957975,332.97141741229103
0.424,137.71282960412498,326.03002505960944
0.432,158.76242895630784,317.85975487118515
0.44,174.64921585148429,308.6799850116747
0.448,193.25498942881887,298.4883520804326
0.456,210.83347809915347,287.3002504089115
0.464,227.95780071893392,275.1641286300654
0.472,239.6477124087633,262.2107829328631
0.48,253.68425349865262,248.53820106313393
0.488,263.6023686842726,234.24180492878554
0.496,275.011045332617,219.35343659640642
0.504,287.9471108517659,203.7181969694068
0.512,296.9391862316941,187.56334051066193
0.52,306.6468655365893,170.86015460806024
0.528,313.2864717333555,153.77421265255265
0.536,322.8901495364178,136.11831974573812
0.544,331.1135123163635,117.9414783747544
0.552,338.42123433896865,99.35675907430614
0.56,342.99570025398015,80.43616443118727
0.568,343.3136946804889,61.44667851586809
0.576,346.51310507891003,42.29999948279979
0.584,348.59034588798323,22.64526308184941
0.592,348.83029042900154,2.8868265495990393
0.6,346.6199387746646,-16.360832234261984
0.608,345.66759844887076,-35.55674589220335
0.616,343.110254676865,-55.126070496462
0.624,342.6555473150528,-74.02268162920384
0.632,339.17864896347317,-92.67684107346312
0.64,333.9475347179875,-110.84570264696615
0.648,328.4640317775057,-129.15058255070338
0.656,323.0566677014243,-147.09246370931265
0.664,314.72348593425613,-164.36343153478163
0.672,307.04507750366975,-182.09148192986575
0.68,295.2868106275825,-198.6366658030929
0.688,281.5770834067245,-214.68551195936072
0.696,271.31418773287686,-229.61376905663192
0.704,259.6655913974501,-244.57949752213105
0.712,245.73263322764524,-258.640056368523
0.72,230.78236040048003,-271.7955131373098
0.728,212.1349281136905,-283.7309217370774
0.736,196.55167530060987,-294.86825355381507
